Date,Day,Time,rc0.02 Lighting Gain (W) - 100% on,rc0.02 Lighting Gain (W) - fixed to occupancy rate,rc0.02 Lighting Gain (W) - autodimming
20/08/2012,Mon,00:00,0,0,0
20/08/2012,Mon,01:00,0,0,0
20/08/2012,Mon,02:00,0,0,0
20/08/2012,Mon,03:00,0,0,0
20/08/2012,Mon,04:00,0,0,0
20/08/2012,Mon,05:00,0,0,0
20/08/2012,Mon,06:00,0,0,0
20/08/2012,Mon,07:00,173.17,43.29,38.91
20/08/2012,Mon,08:00,173.17,86.58,38.91
20/08/2012,Mon,09:00,173.17,173.17,38.91
20/08/2012,Mon,10:00,173.17,173.17,38.91
20/08/2012,Mon,11:00,173.17,173.17,38.91
20/08/2012,Mon,12:00,173.17,129.88,38.91
20/08/2012,Mon,13:00,173.17,129.88,38.91
20/08/2012,Mon,14:00,173.17,173.17,59.58
20/08/2012,Mon,15:00,173.17,173.17,38.91
20/08/2012,Mon,16:00,173.17,173.17,122.87
20/08/2012,Mon,17:00,173.17,86.58,145.34
20/08/2012,Mon,18:00,173.17,43.29,164.45
20/08/2012,Mon,19:00,0,0,0
20/08/2012,Mon,20:00,0,0,0
20/08/2012,Mon,21:00,0,0,0
20/08/2012,Mon,22:00,0,0,0
20/08/2012,Mon,23:00,0,0,0
21/08/2012,Tue,00:00,0,0,0
21/08/2012,Tue,01:00,0,0,0
21/08/2012,Tue,02:00,0,0,0
21/08/2012,Tue,03:00,0,0,0
21/08/2012,Tue,04:00,0,0,0
21/08/2012,Tue,05:00,0,0,0
21/08/2012,Tue,06:00,0,0,0
21/08/2012,Tue,07:00,173.17,43.29,42.68
21/08/2012,Tue,08:00,173.17,86.58,124.6
21/08/2012,Tue,09:00,173.17,173.17,38.91
21/08/2012,Tue,10:00,173.17,173.17,38.91
21/08/2012,Tue,11:00,173.17,173.17,38.91
21/08/2012,Tue,12:00,173.17,129.88,38.91
21/08/2012,Tue,13:00,173.17,129.88,38.91
21/08/2012,Tue,14:00,173.17,173.17,38.91
21/08/2012,Tue,15:00,173.17,173.17,38.91
21/08/2012,Tue,16:00,173.17,173.17,38.91
21/08/2012,Tue,17:00,173.17,86.58,128.05
21/08/2012,Tue,18:00,173.17,43.29,107.49
21/08/2012,Tue,19:00,0,0,0
21/08/2012,Tue,20:00,0,0,0
21/08/2012,Tue,21:00,0,0,0
21/08/2012,Tue,22:00,0,0,0
21/08/2012,Tue,23:00,0,0,0
22/08/2012,Wed,00:00,0,0,0
22/08/2012,Wed,01:00,0,0,0
22/08/2012,Wed,02:00,0,0,0
22/08/2012,Wed,03:00,0,0,0
22/08/2012,Wed,04:00,0,0,0
22/08/2012,Wed,05:00,0,0,0
22/08/2012,Wed,06:00,0,0,0
22/08/2012,Wed,07:00,173.17,43.29,73.19
22/08/2012,Wed,08:00,173.17,86.58,38.91
22/08/2012,Wed,09:00,173.17,173.17,38.91
22/08/2012,Wed,10:00,173.17,173.17,38.91
22/08/2012,Wed,11:00,173.17,173.17,38.91
22/08/2012,Wed,12:00,173.17,129.88,38.91
22/08/2012,Wed,13:00,173.17,129.88,38.91
22/08/2012,Wed,14:00,173.17,173.17,38.91
22/08/2012,Wed,15:00,173.17,173.17,38.91
22/08/2012,Wed,16:00,173.17,173.17,38.91
22/08/2012,Wed,17:00,173.17,86.58,38.91
22/08/2012,Wed,18:00,173.17,43.29,122.91
22/08/2012,Wed,19:00,0,0,0
22/08/2012,Wed,20:00,0,0,0
22/08/2012,Wed,21:00,0,0,0
22/08/2012,Wed,22:00,0,0,0
22/08/2012,Wed,23:00,0,0,0
23/08/2012,Thu,00:00,0,0,0
23/08/2012,Thu,01:00,0,0,0
23/08/2012,Thu,02:00,0,0,0
23/08/2012,Thu,03:00,0,0,0
23/08/2012,Thu,04:00,0,0,0
23/08/2012,Thu,05:00,0,0,0
23/08/2012,Thu,06:00,0,0,0
23/08/2012,Thu,07:00,173.17,43.29,107.39
23/08/2012,Thu,08:00,173.17,86.58,44.32
23/08/2012,Thu,09:00,173.17,173.17,38.91
23/08/2012,Thu,10:00,173.17,173.17,38.91
23/08/2012,Thu,11:00,173.17,173.17,38.91
23/08/2012,Thu,12:00,173.17,129.88,38.91
23/08/2012,Thu,13:00,173.17,129.88,38.91
23/08/2012,Thu,14:00,173.17,173.17,38.91
23/08/2012,Thu,15:00,173.17,173.17,38.91
23/08/2012,Thu,16:00,173.17,173.17,38.91
23/08/2012,Thu,17:00,173.17,86.58,102.24
23/08/2012,Thu,18:00,173.17,43.29,164.45
23/08/2012,Thu,19:00,0,0,0
23/08/2012,Thu,20:00,0,0,0
23/08/2012,Thu,21:00,0,0,0
23/08/2012,Thu,22:00,0,0,0
23/08/2012,Thu,23:00,0,0,0
24/08/2012,Fri,00:00,0,0,0
24/08/2012,Fri,01:00,0,0,0
24/08/2012,Fri,02:00,0,0,0
24/08/2012,Fri,03:00,0,0,0
24/08/2012,Fri,04:00,0,0,0
24/08/2012,Fri,05:00,0,0,0
24/08/2012,Fri,06:00,0,0,0
24/08/2012,Fri,07:00,173.17,43.29,129.77
24/08/2012,Fri,08:00,173.17,86.58,88.54
24/08/2012,Fri,09:00,173.17,173.17,59.58
24/08/2012,Fri,10:00,173.17,173.17,38.91
24/08/2012,Fri,11:00,173.17,173.17,38.91
24/08/2012,Fri,12:00,173.17,129.88,38.91
24/08/2012,Fri,13:00,173.17,129.88,38.91
24/08/2012,Fri,14:00,173.17,173.17,38.91
24/08/2012,Fri,15:00,173.17,173.17,59.58
24/08/2012,Fri,16:00,173.17,173.17,98.81
24/08/2012,Fri,17:00,173.17,86.58,133.23
24/08/2012,Fri,18:00,173.17,43.29,164.45
24/08/2012,Fri,19:00,0,0,0
24/08/2012,Fri,20:00,0,0,0
24/08/2012,Fri,21:00,0,0,0
24/08/2012,Fri,22:00,0,0,0
24/08/2012,Fri,23:00,0,0,0
